"ind","label","icon"
"C01T05","Agriculture, hunting, forestry and fishing","paw"
"C10T14","Mining and quarrying","tint"
"C15T16","Food products, beverages and tobacco","apple"
"C17T19","Textiles, textile products, leather and footwear","scissors"
"C20","Wood and products of wood and cork","tree"
"C21T22","Pulp, paper, paper products, printing and publishing","newspaper-o"
"C23","Coke, refined petroleum products and nuclear fuel","fire"
"C24","Chemicals and chemical products","flask"
"C25","Rubber and plastics products","life-ring"
"C26","Other non-metallic mineral products","glass"
"C27","Basic metals","wrench"
"C28","Fabricated metal products, except machinery and equipment","gear"
"C29","Machinery and equipment, n.e.c.","gears"
"C30T33X","Computer, electronic and optical equipment","tablet"
"C31","Electrical machinery and apparatus, n.e.c.","lightbulb-o"
"C34","Motor vehicles, trailers and semi-trailers","automobile"
"C35","Other transport equipment","anchor"
"C36T37","Manufacturing n.e.c. and recycling","recycle"
"C40T41","Electricity gas and, water supply","plug"
"C45","Construction","cubes"
"C50T52","Wholesale and retail trade - repairs","shopping-cart"
"C55","Hotels and restaurants","beer"
"C60T63","Transport and storage","truck"
"C64","Post and telecommunications","envelope"
"C65T67","Financial intermediation","dollar"
"C70","Real estate activities","building"
"C71","Renting of machinery and equipment","share-alt"
"C72","Computer and related activities","laptop"
"C73T74","Research and development and other business activities","search"
"C75","Public admin. and defence - compulsory social security","legal"
"C80","Education","graduation-cap"
"C85","Health and social work","ambulance"
"C90T93","Other community, social and personal services","users"
"C95","Private households with employed persons","house"
"CTOTAL","Total",""
"C20T22","Wood, paper, paper products, printing and publishing",""
"C23T26","Chemicals and non-metallic mineral products",""
"C27T28","Basic metals and fabricated metal products",""
"C30T33","Electrical and optical equipment",""
"C34T35","Transport equipment",""
"C50T55","Wholesale and retail trade - restaurants and hotels",""
"C60T64","Transport, storage and communications",""
"C70T74","Real estate, renting and business activities",""
"C75T95","Non-market service industries",""
"C15T37","Manufacturing",""
"C50T95","Service industries",""
"C50T74","Business sector services",""
"C10T41","Industry including energy",""
"C45T95","Service industries including Construction",""
"C50T64","Wholesale and retail trade - restaurants and hotels - transport, storage and communications",""
"C65T74","Finance, insurance, real estate and business services",""
"C10T14","Mining and quarrying",""
"C40T45","Electricity gas and, water supply, Construction",""
