"","AUS","AUT","BEL","CAN","CHL","CZE","DNK","EST","FIN","FRA","DEU","GRC","HUN","ISL","IRL","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NZL","NOR","POL","PRT","SVK","SVN","ESP","SWE","CHE","TUR","GBR","USA","ARG","BGR","BRA","BRN","CHN","COL","CRI","CYP","HKG","HRV","IDN","IND","KHM","LTU","LVA","MLT","MYS","PHL","ROU","RUS","SAU","SGP","THA","TUN","TWN","VNM","ZAF","ROW"
"C01T05",12541.82,2875.28,2219.75,14459.63,3546.38,2249.95,3141.09,395.74,2792.96,17918.38,10631.9,2307.89,3262.71,678.17,2249.55,960.09,9712.14,3844.76,3205.78,172.02,8378.01,7814.69,5478.33,3394.64,5564.65,1733.43,1919.44,502.24,13305,4087.82,1646.52,8714.02,4194.38,34752.36,14870.56,1764.02,24869.58,39.27,90810.79,4369.25,1197.46,125.89,45.57,625.19,21451.09,26249.12,667.69,641.69,832.75,37.41,16158.78,3640.09,2826.52,6621.6,1118.36,78.68,18016.43,993.58,1395.29,12122.34,1921.9,85147.87
"C10T14",93768.35,1934.45,511.09,111732.12,12081.97,2332.48,9477.81,233.82,975.61,3547.08,6795.6,425.84,167.96,7.91,595.56,1727.23,3718.96,4243.39,820.37,53.18,68794.2,20267.73,1558.59,124394.01,10614.35,968.09,632.78,154.52,2728.74,4837.88,612.52,5220.76,52390.32,75265.73,8646.94,1298.78,42553.42,14709.55,93709.58,37419.51,10.16,20.65,11.04,164.53,84266.64,16847.15,64.39,150.99,121.96,5.09,32293.32,1641.78,1192.56,198916.03,369888.41,604.38,6734.09,2979.53,685.9,11237.9,29470.91,952641.87
"C15T16",5712.71,3001.55,3866.9,6859.8,2914.39,1533.68,2784.4,196.43,790.48,11801.96,16543.99,2014.35,1235.61,503.92,9293.99,396.2,9320.58,4024.11,1735.98,397.52,5114.62,8776.08,3713.88,2024.55,5088.51,1584.18,598.69,202.07,8077.43,2105.3,4346.62,2744.09,10069.12,19384.44,7264.31,609.88,10223.75,4.42,27036.27,760.08,500.73,106.52,181.66,401.58,11007.95,3528.39,36.79,417.89,339.77,44.58,4508.57,1908.74,1439.7,3694.75,983.79,1337.14,9936.52,307.41,710.75,2668.54,1551.39,25595.44
"C17T19",914.44,1097.61,1243.35,1967.24,222.82,1161.28,348.63,178.27,442.21,6923.9,7894.75,949.89,593.95,20.2,245.4,337.08,20116.42,3108.56,5371.99,267.94,2374.06,775.89,175.07,297.5,2248.23,3148.81,762.42,314.78,5413.41,606.62,1629.64,7195.48,4585.81,7949.36,1129.78,1377.37,2403.71,32.25,80347.06,503.96,73.31,22.65,358.06,281.24,6249.76,6798.59,991.26,456.89,203.41,28.46,840.14,881.45,3980.54,449.8,338.87,140.75,4384.49,1166.04,2181.41,3784.73,304.45,25611.94
"C20",890.81,2164.66,650.27,2728.88,656.05,1255.12,312,381.35,929.47,1931.83,4905.29,319.73,262.58,2.05,110.77,116.77,2884.19,863.25,424.56,86.06,541.99,467.31,468.37,380.56,1917.56,777.52,814.3,296.77,1406.32,1809.38,1703.28,454.61,953.05,4292.89,432.38,127.69,1354.68,0.72,14624.81,66.03,20.91,19.62,2.44,138.5,2047.51,92.02,169.76,439.12,714.18,1.43,1397.43,170.48,1303.17,2547.14,58.09,44.42,1019.11,65.43,130.52,292.89,299.59,3075.25
"C21T22",2529.89,3699.32,2787.8,13318.54,1725.48,2127.62,1811.58,194.79,5801.88,8608.26,26222.75,383.49,982.95,41.16,2937.16,661.06,7968.64,13589.4,4191.98,267.3,2660.99,4585.07,446.38,1813.25,3344.45,1758.04,889.49,480.07,7783.09,7671.14,4304.88,1443.68,12578.79,49492.57,1157.16,261.35,6009.27,3.86,15907.52,582.75,164.69,57.55,249.89,132.38,3319.52,1482.56,18.52,309.02,190.89,55.07,1455.43,316.21,532.32,3220.39,503.86,1379.91,2760.73,95.36,1519.85,455.91,1174.38,6305.62
"C23",894.96,280.33,1682.49,2742.83,684.76,71.71,244.08,142.37,1193.05,3780.82,2250.2,1742.37,1254.02,13.41,907.98,392.57,2501.21,13125.92,6430.72,3.48,1711.85,4088.2,211.73,503.68,2653.39,189.52,320.13,1.77,2836.39,1495.28,69.27,1722.3,5803.79,37863.17,1131.19,233.76,1972.12,25.82,27206.84,3762.02,30.56,1.25,6.78,534.89,7189.44,16158.68,0.88,363.07,1.36,6.59,7417.72,1759.7,875.24,52405.01,16840.14,1284.7,4689.42,35.7,4006.18,408.81,2950.57,75351.2
"C24",6348.35,6184.17,15225.62,13585.31,1010.2,3066.12,6162.6,186.61,3649.03,29285.27,76652.85,1708.38,2985.16,48.51,31566.14,8460.69,19376.52,29981.34,19424.99,190.22,6796.99,13631.6,215.57,3211.77,5396.09,1269.57,1364.26,1557.02,15520.96,10235.57,29114.49,4253.95,37102.63,97352.49,3875.93,659.95,8022.74,1.38,60270.1,1576.17,221.33,116.72,145.81,425.55,7045.52,19590.62,7.22,794.73,148.8,82.39,6916.11,1358.56,991.06,17089.64,11728.12,13969.19,7968.02,367.89,9524.51,807.81,2206.34,20012.34
"C25",1189.93,2963.98,2659.32,5773.63,424.2,4512.01,1389.92,111.88,1147.82,9074.41,29656.08,329.69,1875.73,15.43,605.57,1230.8,9923.55,18683.76,8775.04,791.72,2888.65,1848.48,342.37,446.63,5178.46,1263.8,1464.8,758.34,7047.2,2342.21,3296.66,3642.85,7109.84,17709.04,1431.04,321.65,2859.29,0.99,38601,385.01,234.52,20.94,78.75,108.27,1610.43,3748.8,7.76,333.81,93.71,33.62,3697.63,635.85,937.61,2341.58,766.25,746.46,3128.97,112.74,2740.66,1027.65,641.53,6523.26
"C26",694.92,1860.57,1575.04,1592.74,183.87,1957.8,653.04,100.83,733.71,4191.07,11029.85,340.51,703.55,13.55,308.49,205.79,8215.39,9814.09,3236.94,275.02,2158.71,1003.19,122.4,682.75,2420.05,1447.93,678.72,277.16,4640.1,1307.69,1347.5,2476.55,2500.66,6088.6,394.92,336.74,1464.37,0.49,20274.65,302.46,70.16,44.42,26.72,169.28,631.4,1776.91,0.45,174.33,117.2,13.2,1312.61,211.39,250.28,1872.07,303.49,235.15,1562.84,152.85,677.99,835.83,328.92,4372.11
"C27",7046.56,6927.37,6190.3,15186.13,24794.71,2824.07,432.55,45.96,2576.21,18216.16,35689.22,1710.11,902.87,926.76,268.15,622.87,13020.51,65185.12,28698.5,690.73,17084.05,2178.09,335.15,3211.7,2306.3,1064.16,1895,586.69,12899.82,5465.62,2170.5,4718.45,4769.58,22882.16,3769.34,1413.92,12528.75,1.31,78402.87,1869.47,82.08,43.97,35.12,135.81,4879.03,11217.61,54.34,48.23,231.74,2.17,2681.3,1814.51,3550.14,38502.83,586.51,162.4,3632.47,288.71,6470.01,1010.65,4573.57,32918.52
"C28",2564.9,6264.32,3319.92,9636.42,611.03,6202.47,2229.29,369.83,2397.21,17316.65,49969.7,590.83,1819.1,27.45,708.08,1305.98,31691.08,10973.86,10441.79,442.62,3251.71,4047.87,789.65,2319.11,7959.54,1718.29,3157.25,1403.58,10776.6,5027.53,8753.17,3432.27,11591.82,33688.04,1318.91,572.67,3990.29,1.96,30629.67,277.64,119.9,35.85,47.57,451.7,999.65,3325.34,8.51,300.73,234.06,19.62,2849.88,343.42,887.83,5165.6,356.74,2169.42,2034.27,186.54,5134.3,1098.04,1203.49,6382.41
"C29",2958.19,9723.03,3022.69,10435.92,487.22,5225.96,3908.32,116.6,5515.49,16900.2,92264.13,430.27,4964.03,106.58,1138.43,1399.37,39313.95,43885.85,15953.41,423.01,9880.85,6831.77,1080.1,4179.19,5763.2,1465.29,1500.98,1082.3,9415.42,9846.06,12544.93,3913.6,18967.69,61671.83,768.21,598.81,5554.76,1.58,71943.31,213.47,26.03,31.23,242.54,238.14,2116.42,5721.71,3.15,282.52,106.89,17.46,1882.18,458.45,1726.23,9543.58,796.45,4532.58,6379.23,147.34,3856.97,329.86,2394.86,13551.58
